team,name,confed,stage1_matches,prior_matches,evidence_window_start,evidence_window_end,evidence_window_years
Solomon Islands,Solomon Islands,OFC,28.0,28.0,2021-05-27,2025-05-26,4
Vanuatu,Vanuatu,OFC,23.0,23.0,2021-05-27,2025-05-26,4
Albania,Albania,UEFA,44.0,44.0,2021-05-27,2025-05-26,4
Andorra,Andorra,UEFA,41.0,41.0,2021-05-27,2025-05-26,4
Armenia,Armenia,UEFA,41.0,41.0,2021-05-27,2025-05-26,4
Austria,Austria,UEFA,49.0,49.0,2021-05-27,2025-05-26,4
Azerbaijan,Azerbaijan,UEFA,41.0,41.0,2021-05-27,2025-05-26,4
Belarus,Belarus,UEFA,40.0,40.0,2021-05-27,2025-05-26,4
Belgium,Belgium,UEFA,52.0,52.0,2021-05-27,2025-05-26,4
Bosnia and Herzegovina,Bosnia and Herzegovina,UEFA,39.0,39.0,2021-05-27,2025-05-26,4
Bulgaria,Bulgaria,UEFA,42.0,42.0,2021-05-27,2025-05-26,4
Croatia,Croatia,UEFA,54.0,54.0,2021-05-27,2025-05-26,4
Cyprus,Cyprus,UEFA,41.0,41.0,2021-05-27,2025-05-26,4
Czech Republic,Czech Republic,UEFA,49.0,49.0,2021-05-27,2025-05-26,4
Denmark,Denmark,UEFA,52.0,52.0,2021-05-27,2025-05-26,4
England,England,UEFA,58.0,58.0,2021-05-27,2025-05-26,4
Estonia,Estonia,UEFA,46.0,46.0,2021-05-27,2025-05-26,4
Faroe Islands,Faroe Islands,UEFA,41.0,41.0,2021-05-27,2025-05-26,4
Finland,Finland,UEFA,46.0,46.0,2021-05-27,2025-05-26,4
France,France,UEFA,56.0,56.0,2021-05-27,2025-05-26,4
Georgia,Georgia,UEFA,43.0,43.0,2021-05-27,2025-05-26,4
Germany,Germany,UEFA,53.0,53.0,2021-05-27,2025-05-26,4
Gibraltar,Gibraltar,UEFA,41.0,41.0,2021-05-27,2025-05-26,4
Greece,Greece,UEFA,41.0,41.0,2021-05-27,2025-05-26,4
Hungary,Hungary,UEFA,47.0,47.0,2021-05-27,2025-05-26,4
Iceland,Iceland,UEFA,50.0,50.0,2021-05-27,2025-05-26,4
Israel,Israel,UEFA,39.0,39.0,2021-05-27,2025-05-26,4
Italy,Italy,UEFA,53.0,53.0,2021-05-27,2025-05-26,4
Kazakhstan,Kazakhstan,UEFA,41.0,41.0,2021-05-27,2025-05-26,4
Kosovo,Kosovo,UEFA,42.0,42.0,2021-05-27,2025-05-26,4
Latvia,Latvia,UEFA,42.0,42.0,2021-05-27,2025-05-26,4
Liechtenstein,Liechtenstein,UEFA,40.0,40.0,2021-05-27,2025-05-26,4
Lithuania,Lithuania,UEFA,42.0,42.0,2021-05-27,2025-05-26,4
Luxembourg,Luxembourg,UEFA,41.0,41.0,2021-05-27,2025-05-26,4
Malta,Malta,UEFA,40.0,40.0,2021-05-27,2025-05-26,4
Moldova,Moldova,UEFA,42.0,42.0,2021-05-27,2025-05-26,4
Montenegro,Montenegro,UEFA,41.0,41.0,2021-05-27,2025-05-26,4
Netherlands,Netherlands,UEFA,54.0,54.0,2021-05-27,2025-05-26,4
North Macedonia,North Macedonia,UEFA,45.0,45.0,2021-05-27,2025-05-26,4
Northern Ireland,Northern Ireland,UEFA,39.0,39.0,2021-05-27,2025-05-26,4
Norway,Norway,UEFA,41.0,41.0,2021-05-27,2025-05-26,4
Poland,Poland,UEFA,50.0,50.0,2021-05-27,2025-05-26,4
Portugal,Portugal,UEFA,55.0,55.0,2021-05-27,2025-05-26,4
Republic of Ireland,Rep of Ireland,UEFA,41.0,41.0,2021-05-27,2025-05-26,4
Romania,Romania,UEFA,45.0,45.0,2021-05-27,2025-05-26,4
San Marino,San Marino,UEFA,41.0,41.0,2021-05-27,2025-05-26,4
Scotland,Scotland,UEFA,47.0,47.0,2021-05-27,2025-05-26,4
Serbia,Serbia,UEFA,46.0,46.0,2021-05-27,2025-05-26,4
Slovakia,Slovakia,UEFA,48.0,48.0,2021-05-27,2025-05-26,4
Slovenia,Slovenia,UEFA,46.0,46.0,2021-05-27,2025-05-26,4
Spain,Spain,UEFA,57.0,57.0,2021-05-27,2025-05-26,4
Sweden,Sweden,UEFA,48.0,48.0,2021-05-27,2025-05-26,4
Switzerland,Switzerland,UEFA,54.0,54.0,2021-05-27,2025-05-26,4
Turkey,Turkey,UEFA,50.0,50.0,2021-05-27,2025-05-26,4
Ukraine,Ukraine,UEFA,47.0,47.0,2021-05-27,2025-05-26,4
Wales,Wales,UEFA,47.0,47.0,2021-05-27,2025-05-26,4
