team,name,confed,prior_matches,new_matches,total_matches,prior_weight,new_weight,prior_off,prior_xG_scaled,new_xG,pooled_xG_pre_normalization,xG,prior_def,prior_xGA_scaled,new_xGA,pooled_xGA_pre_normalization,xGA
Bulgaria,Bulgaria,UEFA,32.0,8.0,40.0,0.8,0.2,1.3775168093804446,1.3541702492345005,0.999661069129962,1.2832684132135928,1.2482107963532854,0.9437726800425644,0.9437726800425644,1.227801375659599,1.0005784191659715,0.9548413703955219
Burkina Faso,Burkina Faso,CAF,40.0,12.0,52.0,0.7692307692307693,0.23076923076923078,1.478319398032221,1.453264405958042,1.3024265375710489,1.4184556670995052,1.3797048689044675,1.0465896013510154,1.0465896013510154,0.8631274192967208,1.0042521747231012,0.9583471963492656
Burundi,Burundi,CAF,22.0,6.0,28.0,0.7857142857142857,0.21428571428571427,0.7568970145904235,0.7440689013107251,0.1433743817077748,0.6153486471100929,0.5985379340248457,1.3854682979699338,1.3854682979699338,0.9371029101443856,1.2893900005787449,1.2304511985708455
Cambodia,Cambodia,AFC,29.0,2.0,31.0,0.9354838709677419,0.06451612903225806,0.1497661097889097,0.14722782969954842,0.2360599244993829,0.15295893258986032,0.14878024666657141,1.37987626768848,1.37987626768848,0.612822590969901,1.3303889337066361,1.2695760455021048
Cameroon,Cameroon,CAF,36.0,12.0,48.0,0.75,0.25,1.591466605329365,1.5644939610984065,1.3017092679631703,1.4987977878145975,1.4578521227805008,0.8442433373727791,0.8442433373727791,0.9317031889490158,0.8661083002668383,0.8265179625071901
Canada,Canada,CONCACAF,42.0,12.0,54.0,0.7777777777777778,0.2222222222222222,1.7724733696870527,1.7424329695622116,1.4742918510545444,1.6828460543382857,1.6368723736956436,0.7294157033690776,0.7294157033690776,0.4562775232035213,0.668718329998954,0.6381508079666979
Cape Verde,Cape Verde Islands,CAF,34.0,9.0,43.0,0.7906976744186046,0.20930232558139536,1.10345783214308,1.0847561041705347,1.3005077010912602,1.1299134151539423,1.099045304331678,0.9296389367540394,0.9296389367540394,0.6718009849066008,0.8756728538092268,0.8356453144835081
Cayman Islands,Cayman Islands,CONCACAF,16.0,4.0,20.0,0.8,0.2,0.160918240163552,0.15819095048768403,0.0102605395565028,0.12860486830144777,0.12509151119481413,2.634459490951884,2.634459490951884,1.431755105074524,2.393918613776412,2.284491136335869
Central African Republic,Central African Republic,CAF,22.0,5.0,27.0,0.8148148148148148,0.18518518518518517,1.0559734604573348,1.0380765115858535,0.664186890799274,0.9688376929216721,0.9423700106437176,1.1291427427582323,1.1291427427582323,1.8247103003492608,1.257951549719534,1.200449818442596
Chad,Chad,CAF,17.0,8.0,25.0,0.68,0.32,0.4271270082489737,0.41988793405391767,1.0626527058629949,0.6255726610328224,0.6084826380548147,1.1791234214405808,1.1791234214405808,1.1829880274893791,1.1803600953761961,1.1264051167210363
