rank,name,confed,off,defe,spi
69,Jamaica,CONCACAF,2.5022069094704387,3.172798429604508,45.74121586773046
70,Albania,UEFA,2.416526855513936,2.7037530762892263,44.17495456905448
71,Benin,CAF,2.410701681857973,2.822987779365292,44.06846836095716
72,Paraguay,CONMEBOL,2.4081355754101565,3.745010889610954,44.02155903922006
73,Honduras,CONCACAF,2.3666029541963787,3.5018195025592624,43.262328223694034
74,Haiti,CONCACAF,2.3344624704537678,2.92929487748535,42.67478896009445
75,Zimbabwe,CAF,2.3303677670777856,3.662244190108744,42.59993635285152
76,Guinea,CAF,2.2868453687725485,2.538050553484927,41.80433171742891
77,Equatorial Guinea,CAF,2.282351594004188,1.7933705877454258,41.72218394581075
78,Montenegro,UEFA,2.262127415243825,3.42641502821554,41.3524788974696
79,Northern Ireland,UEFA,2.244832793982483,2.7041167095756067,41.036327182968456
80,Uzbekistan,AFC,2.217281208559744,1.9054591413515949,40.532674582717895
81,Kenya,CAF,2.2049055416467738,2.7554162805276805,40.30644307099486
82,Bulgaria,UEFA,2.193818076895333,2.990785375189616,40.10376034451769
83,Namibia,CAF,2.135963329025424,2.708266522758449,39.04615535538804
84,Angola,CAF,2.135431460306371,1.982300895246092,39.03643260951941
85,Armenia,UEFA,2.103429392743092,4.126387877331116,38.45142364200144
86,Cape Verde,CAF,2.052729124645646,2.0884830896312265,37.5246050408619
87,Saudi Arabia,AFC,2.0137325362120166,2.538998717351149,36.81173378992877
88,Uganda,CAF,1.998978813905624,2.680391724268459,36.54203059539476
89,Togo,CAF,1.93755726004777,2.665041862697108,35.41922314757338
90,Oman,AFC,1.9110105564000144,2.067988414969278,34.93394013699068
91,Jordan,AFC,1.9058375834443388,1.6780015830259654,34.83937638538887
92,United Arab Emirates,AFC,1.8837102722895007,2.207448166633635,34.43488141246112
93,Iraq,AFC,1.8267694777204344,2.887758789652964,33.39398380874737
94,Azerbaijan,UEFA,1.791195409877261,2.692316968873138,32.74367742906741
95,Kazakhstan,UEFA,1.7661758294164636,2.5862497596206606,32.28631076348675
96,Bahrain,AFC,1.7480097845703824,2.388707890351811,31.954229121627918
97,Sierra Leone,CAF,1.727965091540541,2.2688842362431285,31.587805135102194
98,Gambia,CAF,1.7267236803820385,2.436434658985044,31.565111705727205
99,Congo,CAF,1.7194946693479098,3.5122750546776387,31.432962860253728
100,Mozambique,CAF,1.7092756297568013,1.9632807068229872,31.24615524888928
101,Luxembourg,UEFA,1.6978274858074236,2.552848336163053,31.036879180754628
102,Mauritania,CAF,1.4512703016202118,2.302801576480453,26.529727776543275
103,China PR,AFC,1.449531665859695,3.280447503907796,26.49794490785398
104,Comoros,CAF,1.4425147891394574,1.7649656202040929,26.36967395169809
105,Belarus,UEFA,1.434682018037423,2.777119089937824,26.226488161400475
106,Ethiopia,CAF,1.4093630949513294,2.5816775519355417,25.763649408123847
107,Central African Republic,CAF,1.3790328145441773,1.8122064600344288,25.209201293468947
108,North Korea,AFC,1.3764257532250803,2.2762389816729494,25.161543302386804
109,Libya,CAF,1.3757179649342908,2.479033514606005,25.148604685330344
110,Guinea-Bissau,CAF,1.3446487563931782,2.3738147826011518,24.580648706414383
111,Guatemala,CONCACAF,1.336485133137875,1.9411240537396373,24.431414823248954
112,El Salvador,CONCACAF,1.335524432719967,2.708608389546851,24.413852884212883
113,Malawi,CAF,1.3309905256172496,2.6346638394981614,24.330971479511813
114,Trinidad and Tobago,CONCACAF,1.3157665485571466,2.1018177709320334,24.052671863906117
115,Sudan,CAF,1.3135823855609554,2.0474442618090327,24.01274460180762
116,Niger,CAF,1.3112859412460232,2.3869065514021672,23.970764798003238
117,Cyprus,UEFA,1.297075821560997,3.3709695103319657,23.710998849168643
118,Burundi,CAF,1.273003171543826,3.071749497842976,23.270942402686853
119,Lithuania,UEFA,1.2573452634784077,2.37601870327761,22.984710376811364
120,Madagascar,CAF,1.2570715364035148,2.4004497843778223,22.979706550319584
121,Rwanda,CAF,1.2167480686454903,1.669916568702279,22.242579482100584
122,Martinique,CONCACAF,1.2163230959447662,1.9855834758497783,22.234810832766215
123,Tanzania,CAF,1.206862971094638,2.3979970275288145,22.061876447816818
124,New Zealand,OFC,1.1932160155310905,1.3547889091165093,21.812405335732944
125,Botswana,CAF,1.1823517838218034,1.7582018565383846,21.61380338720075
126,Kyrgyzstan,AFC,1.1702854239392704,2.485882964557558,21.393226115978415
127,Estonia,UEFA,1.1616207291957306,2.2105306308685813,21.234832471075514
128,Latvia,UEFA,1.040019425852,2.572285660853967,19.011918192887332
129,Syria,AFC,1.0302474483907509,1.9489640685674816,18.833283033333647
130,Faroe Islands,UEFA,0.9634666628588128,1.8637064310464213,17.612506959511894
131,Curaçao,CONCACAF,0.947748164840628,2.6726325055114817,17.325167328146854
132,Kuwait,AFC,0.943268348503932,2.4615258041504906,17.243274721532657
133,Liberia,CAF,0.9158477536985524,2.715553918444139,16.74201667549845
134,Vietnam,AFC,0.8734622733531571,1.9384213166791664,15.967195297298959
135,Lesotho,CAF,0.8333838585090089,1.6099744074452045,15.23454788189772
136,Palestine,AFC,0.8112457254473893,0.9955524796625702,14.829855080735891
137,Moldova,UEFA,0.8086598611598615,1.6559036741104418,14.78258457879107
138,Bermuda,CONCACAF,0.7636993499738596,2.91545056224323,13.960690737838618
139,Cuba,CONCACAF,0.7356771359047318,1.9190542719441488,13.448434881627671
140,Thailand,AFC,0.6716553689163699,1.8872034080082216,12.27809463000237
141,Malta,UEFA,0.5774436234986003,1.473319088296042,10.555871032857125
142,Lebanon,AFC,0.5740799571465068,1.810199077755904,10.494382037628231
143,Nicaragua,CONCACAF,0.5425763486621744,1.5610595613881366,9.91848507609387
144,Eswatini,CAF,0.5378067628030515,0.9262512788838668,9.83129538144628
145,South Sudan,CAF,0.5114290017895876,1.3622311925286237,9.349100701199148
146,Dominican Republic,CONCACAF,0.4446707001732922,1.604538571670297,8.128735641204855
147,Suriname,CONCACAF,0.4370709979310978,1.74693272363799,7.989810431033385
148,Guyana,CONCACAF,0.4114789252527139,1.748314527227021,7.521978407848559
149,Turkmenistan,AFC,0.3899901010796812,2.551149204409213,7.1291551998547735
150,Puerto Rico,CONCACAF,0.389099536757045,1.7713702700609346,7.112875373125966
151,Tajikistan,AFC,0.3850326948076253,0.6569908751066087,7.038532082487498
152,Saint Martin,CONCACAF,0.3428571428571429,3.4285714285714284,6.267548268636555
153,Malaysia,AFC,0.3210533046843096,1.2986886762494554,5.868966494749717
154,Saint Kitts and Nevis,CONCACAF,0.305806765443129,3.864449612665267,5.590254434597083
