prior_rank,name,prior_off,prior_def,prior_spi,new_rank,new_off,new_def,new_spi,rank_change,off_change,def_change,spi_change,status
77,Estonia,1.5066456187216328,1.2253675133049076,50.58252032520325,92,1.0697839707122836,1.0742928058217394,47.86312195121951,-15,-0.43686164800934923,-0.1510747074831682,-2.7193983739837364,rated
46,Tunisia,1.7427018299698864,0.9763093257422892,56.290699186991866,93,0.9103013423286684,0.9178686367137469,47.7630081300813,-47,-0.832400487641218,-0.05844068902854238,-8.527691056910562,rated
189,Vietnam,0.1726381049205835,1.934709796037135,26.213276422764224,94,0.08539131247052763,0.007345277528896239,47.58159349593496,95,-0.08724679245005589,-1.9273645185082389,21.368317073170736,rated
182,Cuba,0.1609065257279115,1.669641887793753,28.348406504065043,95,0.4031183538151288,0.37948750633304135,47.499959349593496,87,0.24221182808721728,-1.2901543814607117,19.151552845528453,rated
135,Cambodia,0.2365972969066637,0.612822590969901,40.800780487804886,96,0.05841891452556868,0.006437357536941591,47.154943089430894,39,-0.178178382381095,-0.6063852334329594,6.354162601626008,rated
108,Chad,1.0640971237773815,1.185132130096062,45.56418699186992,97,1.0640971237773815,1.185132130096062,46.52143902439025,11,0.0,0.0,0.95725203252033,rated
52,Romania,1.8673005684603885,1.1310902494389774,55.79086991869918,98,1.06077310715862,1.1851107017241234,46.48654471544715,-46,-0.8065274613017686,0.05402045228514596,-9.304325203252027,rated
88,Palestine,1.056686922184957,0.8578567672646112,49.38173983739838,99,0.002830910793457586,0.003223172038040555,46.23746341463414,-11,-1.0538560113914994,-0.8546335952265707,-3.1442764227642357,rated
161,San Marino,0.4355562729708286,1.2733446585525643,36.08284552845529,100,0.5561879942851449,0.6525304627197102,46.14455284552845,61,0.12063172131431626,-0.6208141958328541,10.061707317073164,rated
92,China PR,1.0963011861583143,0.953193712104796,48.76013821138211,101,0.6810674129480193,0.8121737073767522,45.92400000000001,-9,-0.415233773210295,-0.14102000472804377,-2.8361382113821065,rated
76,Bolivia,1.0699013606332552,0.7624008878857943,50.76350406504066,102,1.1464347148603358,1.3372001849407182,45.79569105691057,-26,0.07653335422708052,0.5747992970549239,-4.967813008130086,rated
166,El Salvador,0.4221195839645932,1.3450533358570338,35.172252032520326,103,0.4122678270248448,0.5340801404856509,45.56023577235773,63,-0.00985175693974838,-0.8109731953713829,10.387983739837402,rated
35,Greece,1.9265050194447657,0.9648007316777044,58.458975609756095,104,0.6671473034904976,0.8400226426804501,45.35633333333333,-69,-1.2593577159542682,-0.12477808899725429,-13.102642276422763,rated
83,Cyprus,1.4546403422374945,1.2401884692387075,49.77630081300813,105,0.8725754177865976,1.0851425145709528,45.20173170731707,-22,-0.5820649244508969,-0.15504595466775473,-4.5745691056910545,rated
146,Trinidad and Tobago,0.878251097838409,1.585562804988701,38.76686178861789,106,1.1517351110033673,1.397091283500251,45.157991869918696,40,0.2734840131649583,-0.18847152148845003,6.391130081300808,rated
123,Sierra Leone,1.164234087784341,1.5670074017462012,42.55439837398374,107,0.9956337054823816,1.2462347934245404,44.93529268292683,16,-0.16860038230195928,-0.3207726083216609,2.380894308943091,rated
110,Honduras,0.6753191733756025,0.7941636583341711,45.05470731707317,108,1.115754396636637,1.3755803163701887,44.93429268292683,2,0.44043522326103446,0.5814166580360176,-0.12041463414633569,rated
96,Armenia,1.342780570773873,1.2575930064327367,48.21419512195122,109,1.0043662945176184,1.2655975826800834,44.80467479674797,-13,-0.33841427625625453,0.008004576247346629,-3.4095203252032533,rated
45,New Zealand,1.7174226097220382,0.9411418390822311,56.388642276422765,110,1.210193435018659,1.5110193005270407,44.62743902439024,-65,-0.5072291747033792,0.5698774614448096,-11.761203252032523,rated
157,Guinea-Bissau,0.5741132044407874,1.3734069698701183,36.93037398373984,111,0.6859179024610743,0.9557999303982856,44.235520325203254,46,0.11180469802028692,-0.41760703947183275,7.305146341463413,rated
