team,name,confed,prior_matches,stage2_matches,stage1_matches,new_matches,total_matches,prior_weight,new_weight,prior_off,prior_xG_scaled,new_xG,pooled_xG_pre_normalization,xG,prior_def,prior_xGA_scaled,new_xGA,pooled_xGA_pre_normalization,xGA
Cayman Islands,Cayman Islands,CONCACAF,22.0,4.0,18.0,3.0,25.0,0.88,0.12,0.010283896891947,0.010283896891947,0.0327370662494717,0.012978277214849964,0.012845844055721183,1.431755105074524,1.431755105074524,0.7193433004998985,1.3462656885255688,1.3358112951695291
Central African Republic,Central African Republic,CAF,35.0,5.0,30.0,2.0,37.0,0.9459459459459459,0.05405405405405406,0.6668582790459527,0.6668582790459527,0.1601706237983685,0.6394697571406779,0.6329444688683212,1.8215378106934808,1.8215378106934808,0.8397333979600144,1.7684673018970771,1.754734312213908
Chad,Chad,CAF,25.0,8.0,17.0,0.0,25.0,1.0,0.0,1.0640971237773815,1.0640971237773815,1.0640971237773815,1.0640971237773815,1.053238845641633,1.185132130096062,1.185132130096062,1.185132130096062,1.185132130096062,1.1759290154564288
Chile,Chile,CONMEBOL,59.0,6.0,53.0,4.0,63.0,0.9365079365079365,0.06349206349206349,0.9798774894731498,0.9798774894731498,2.5456784403465207,1.0792934228619353,1.0682800783902227,0.8804546298652278,0.8804546298652278,1.1264889135026075,0.8960758542231566,0.8891173990409869
China,China PR,AFC,46.0,3.0,43.0,4.0,50.0,0.92,0.08,1.0963011861583143,1.0963011861583143,0.6810674129480194,1.0630824843014905,1.0522345597672984,0.953193712104796,0.953193712104796,0.8121737073767522,0.9419121117265524,0.9345977162051217
Colombia,Colombia,CONMEBOL,64.0,8.0,56.0,9.0,73.0,0.8767123287671232,0.1232876712328767,2.060754665332869,2.060754665332869,1.9551147977651928,2.0477305720711008,2.026835084618139,0.4581911362185942,0.4581911362185942,0.5667340194939573,0.47157313552651564,0.4679111458487318
Comoros,Comoros,CAF,55.0,14.0,41.0,3.0,58.0,0.9482758620689655,0.05172413793103448,1.2522196007193491,1.2522196007193491,0.0985034389021011,1.19254462683225,1.1803756424810188,1.0300818039157935,1.0300818039157935,1.0064714504631882,1.0288605787372105,1.0208709870167072
Congo,Congo,CAF,29.0,3.0,26.0,0.0,29.0,1.0,0.0,1.1846533033204036,1.1846533033204036,1.1846533033204036,1.1846533033204039,1.1725648437480074,1.540643136031552,1.540643136031552,1.540643136031552,1.540643136031552,1.5286793093496165
Costa Rica,Costa Rica,CONCACAF,74.0,12.0,62.0,4.0,78.0,0.9487179487179487,0.05128205128205128,1.054495647490096,1.054495647490096,1.2906509321780713,1.066606174909992,1.0557222938716082,1.3730909543362262,1.3730909543362262,1.2137249805958066,1.3649183402982559,1.3543191002299908
Croatia,Croatia,UEFA,62.0,8.0,54.0,8.0,70.0,0.8857142857142857,0.11428571428571428,1.6732579065238329,1.6732579065238329,2.2884135335778755,1.7435614067585807,1.725769727523385,0.6541052530878366,0.6541052530878366,1.0565663221757888,0.7001008038407455,0.6946641881306276
