rank,name,confed,off,def,spi
178,Puerto Rico,CONCACAF,0.3539748918361516,1.604853546391986,31.25342276422764
179,Bonaire,CONCACAF,0.0686238607785972,1.2631593587169432,30.51032520325203
180,British Virgin Islands,CONCACAF,0.1054131189148132,1.3259492148726113,30.458845528455285
181,Singapore,AFC,0.2638683364318844,1.558139056064417,30.411349593495935
182,St. Martin,CONCACAF,0.1444495772817607,1.4464630990261922,29.829292682926827
183,Sri Lanka,AFC,0.0729747284489113,1.410155266568386,29.140073170731707
184,Solomon Islands,OFC,0.3867383890414734,1.9173000345136877,28.702430894308943
185,Vanuatu,OFC,0.2253370152391602,1.7325501196994215,28.258926829268294
186,Myanmar,AFC,0.2111644828999991,1.7194025245538511,28.202430894308943
187,Maldives,AFC,0.038671681838147,1.460232473298959,28.16713008130081
188,Aruba,CONCACAF,0.2058487249878008,1.760448068793354,27.748780487804876
189,Dominica,CONCACAF,0.2127841646722705,1.783430039927564,27.638276422764225
190,Fiji,OFC,0.3012782637493214,2.0586226943029406,26.425666666666665
191,Belize,CONCACAF,0.2093653140828187,1.9907767596421115,25.812918699186994
192,Antigua and Barbuda,CONCACAF,0.2373978236150593,2.074065921875385,25.517902439024393
193,Philippines,AFC,0.2077363228792455,2.152362761738375,24.50843089430894
194,Bahamas,CONCACAF,0.2193645640315158,2.179176349368328,24.42849593495935
195,Barbados,CONCACAF,0.2913200370029723,2.3271332300695846,24.139463414634147
196,Cayman Islands,CONCACAF,0.1102959423271467,2.176353516421441,23.057813008130083
197,St. Lucia,CONCACAF,0.2514020986791141,2.433956858613378,22.883666666666667
198,St. Kitts and Nevis,CONCACAF,0.1606486490383301,2.4482684897611287,21.6889756097561
199,Anguilla,CONCACAF,0.0374641494750705,2.406149517654807,20.477560975609755
200,Sint Maarten,CONCACAF,0.129552512374794,2.656690814285577,19.890235772357723
201,Laos,AFC,0.0647641530130458,2.5819292463587717,19.651130081300813
202,Brunei,AFC,0.0437041410061879,2.587662277136312,19.37430081300813
203,Turks and Caicos Islands,CONCACAF,0.0051379293459929,2.553829713509548,19.171479674796746
204,Timor-Leste,AFC,0.0215179032270122,2.590342817590653,19.080349593495935
205,Bhutan,AFC,0.0406064087498595,2.651733031246976,18.89608943089431
206,US Virgin Islands,CONCACAF,0.0188880777597541,2.6208582182672826,18.85947967479675
