date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,backend_home,backend_away,home_in_prior,away_in_prior
2026-03-31,Equatorial Guinea,Madagascar,1.0,1.0,Friendly,Manavgat,Turkey,True,Equatorial Guinea,Madagascar,True,True
2026-03-31,Haiti,Iceland,1.0,1.0,Friendly,Toronto,Canada,True,Haiti,Iceland,True,True
2026-03-31,Hungary,Greece,0.0,0.0,Friendly,Budapest,Hungary,False,Hungary,Greece,True,True
2026-03-31,Ivory Coast,Scotland,1.0,0.0,Friendly,Liverpool,England,True,Ivory Coast,Scotland,True,True
2026-03-31,Jordan,Nigeria,2.0,2.0,Friendly,Antalya,Turkey,True,Jordan,Nigeria,True,True
2026-03-31,Liberia,Libya,2.0,2.0,"Morocco, Capital of African Football",Casablanca,Morocco,True,Liberia,Libya,True,True
2026-03-31,Botswana,Malawi,1.0,0.0,Mukuru 4 Nations,Francistown,Botswana,False,Botswana,Malawi,True,True
2026-03-31,Mexico,Belgium,1.0,1.0,Friendly,Chicago,United States,True,Mexico,Belgium,True,True
2026-03-31,Montenegro,Slovenia,2.0,3.0,Friendly,Podgorica,Montenegro,False,Montenegro,Slovenia,True,True
2026-03-31,Morocco,Paraguay,2.0,1.0,Friendly,Lens,France,True,Morocco,Paraguay,True,True
2026-03-31,Netherlands,Ecuador,1.0,1.0,Friendly,Eindhoven,Netherlands,False,Netherlands,Ecuador,True,True
2026-03-31,Niger,Togo,0.0,1.0,"Morocco, Capital of African Football",Casablanca,Morocco,True,Niger,Togo,True,True
2026-03-31,Norway,Switzerland,0.0,0.0,Friendly,Oslo,Norway,False,Norway,Switzerland,True,True
2026-03-31,Peru,Honduras,2.0,2.0,Friendly,Madrid,Spain,True,Peru,Honduras,True,True
2026-03-31,Republic of Ireland,North Macedonia,0.0,0.0,Friendly,Dublin,Republic of Ireland,False,Republic of Ireland,North Macedonia,True,True
2026-03-31,San Marino,Andorra,0.0,0.0,Friendly,Serravalle,San Marino,False,San Marino,Andorra,True,True
2026-03-31,Senegal,Gambia,3.0,1.0,Friendly,Diamniadio,Senegal,False,Senegal,Gambia,True,True
2026-03-31,Serbia,Saudi Arabia,2.0,1.0,Friendly,Bačka Topola,Serbia,False,Serbia,Saudi Arabia,True,True
2026-03-31,Slovakia,Romania,2.0,0.0,Friendly,Bratislava,Slovakia,False,Slovakia,Romania,True,True
2026-03-31,South Africa,Panama,1.0,2.0,Friendly,Cape Town,South Africa,False,South Africa,Panama,True,True
2026-03-31,Spain,Egypt,0.0,0.0,Friendly,Barcelona,Spain,False,Spain,Egypt,True,True
2026-03-31,Ukraine,Albania,1.0,0.0,Friendly,Valencia,Spain,True,Ukraine,Albania,True,True
2026-03-31,United States,Portugal,0.0,2.0,Friendly,Atlanta,United States,False,United States,Portugal,True,True
2026-03-31,Wales,Northern Ireland,1.0,1.0,Friendly,Cardiff,Wales,False,Wales,Northern Ireland,True,True
